year,chsa_code,chsa_name,month,deaths
2007,2221,Burnaby Northwest,Jan,32
2007,2221,Burnaby Northwest,Feb,20
2007,2221,Burnaby Northwest,Mar,20
2007,2221,Burnaby Northwest,Apr,19
2007,2221,Burnaby Northwest,May,16
2007,2221,Burnaby Northwest,Jun,19
2007,2221,Burnaby Northwest,Jul,23
2007,2221,Burnaby Northwest,Aug,23
2007,2221,Burnaby Northwest,Sep,21
2007,2221,Burnaby Northwest,Oct,18
2007,2221,Burnaby Northwest,Nov,20
2007,2221,Burnaby Northwest,Dec,22
2007,2222,Burnaby Northeast,Jan,12
2007,2222,Burnaby Northeast,Feb,15
2007,2222,Burnaby Northeast,Mar,13
2007,2222,Burnaby Northeast,Apr,23
2007,2222,Burnaby Northeast,May,19
2007,2222,Burnaby Northeast,Jun,12
2007,2222,Burnaby Northeast,Jul,17
2007,2222,Burnaby Northeast,Aug,9
2007,2222,Burnaby Northeast,Sep,17
2007,2222,Burnaby Northeast,Oct,14
2007,2222,Burnaby Northeast,Nov,12
2007,2222,Burnaby Northeast,Dec,20
2007,2223,Burnaby Southwest,Jan,59
2007,2223,Burnaby Southwest,Feb,40
2007,2223,Burnaby Southwest,Mar,57
2007,2223,Burnaby Southwest,Apr,49
2007,2223,Burnaby Southwest,May,50
2007,2223,Burnaby Southwest,Jun,36
2007,2223,Burnaby Southwest,Jul,44
2007,2223,Burnaby Southwest,Aug,34
2007,2223,Burnaby Southwest,Sep,42
2007,2223,Burnaby Southwest,Oct,37
2007,2223,Burnaby Southwest,Nov,40
2007,2223,Burnaby Southwest,Dec,42
2007,2224,Burnaby Southeast,Jan,50
2007,2224,Burnaby Southeast,Feb,27
2007,2224,Burnaby Southeast,Mar,44
2007,2224,Burnaby Southeast,Apr,24
2007,2224,Burnaby Southeast,May,40
2007,2224,Burnaby Southeast,Jun,20
2007,2224,Burnaby Southeast,Jul,35
2007,2224,Burnaby Southeast,Aug,32
2007,2224,Burnaby Southeast,Sep,29
2007,2224,Burnaby Southeast,Oct,43
2007,2224,Burnaby Southeast,Nov,31
2007,2224,Burnaby Southeast,Dec,33
2007,2231,Haney,Jan,26
2007,2231,Haney,Feb,25
2007,2231,Haney,Mar,26
2007,2231,Haney,Apr,25
2007,2231,Haney,May,13
2007,2231,Haney,Jun,13
2007,2231,Haney,Jul,22
2007,2231,Haney,Aug,16
2007,2231,Haney,Sep,16
2007,2231,Haney,Oct,14
2007,2231,Haney,Nov,24
2007,2231,Haney,Dec,32
2007,2232,Pitt Meadows,Jan,6
2007,2232,Pitt Meadows,Feb,6
2007,2232,Pitt Meadows,Mar,6
2007,2232,Pitt Meadows,Apr,6
2007,2232,Pitt Meadows,May,3
2007,2232,Pitt Meadows,Jun,2
2007,2232,Pitt Meadows,Jul,2
2007,2232,Pitt Meadows,Aug,6
2007,2232,Pitt Meadows,Sep,4
