year,chsa_code,chsa_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total
2007,5321,Fort St John,11,5,13,9,8,9,12,7,8,10,7,9,108
2007,5322,Hudson's Hope,0,0,0,0,2,1,0,1,1,0,2,1,8
2007,5323,Peace River North Rural,5,2,4,3,2,2,5,3,1,2,2,6,37
2007,5331,Fort Nelson Population Centre,0,0,5,2,0,2,1,1,3,1,2,3,20
2007,UNKN,Unknown CHSA,23,21,22,19,24,22,29,29,27,29,14,30,289
2008,1110,Fernie,6,7,5,8,7,10,6,6,10,7,7,18,97
2008,1120,Cranbrook,24,11,18,13,16,11,16,12,10,18,14,20,183
2008,1130,Kimberley,7,9,8,8,9,6,5,6,6,8,4,9,85
2008,1140,Windermere,6,4,7,7,5,3,6,3,3,7,5,5,61
2008,1150,Creston,16,21,7,17,11,17,12,8,7,15,14,17,162
2008,1160,Golden,2,4,1,0,3,2,7,3,3,7,4,6,42
2008,1210,Kootenay Lake,6,2,1,2,4,1,3,2,5,2,0,1,29
2008,1220,Nelson,21,12,15,10,11,13,14,15,18,15,13,12,169
2008,1230,Castlegar,12,8,17,5,12,16,8,17,3,9,7,10,124
2008,1240,Arrow Lakes,6,3,3,6,5,4,7,3,5,1,3,5,51
2008,1250,Trail,20,9,25,17,14,23,19,12,20,13,16,19,207
2008,1260,Grand Forks,8,12,8,12,6,7,7,9,8,10,8,6,101
2008,1270,Kettle Valley,1,1,1,3,4,3,0,1,2,3,4,2,25
2008,1310,Southern Okanagan,25,15,28,25,27,28,22,18,25,20,16,21,270
2008,1320,Penticton,42,36,64,42,31,42,42,47,49,49,38,58,540
2008,1330,Keremeos,7,7,5,3,4,6,7,5,9,6,4,6,69
2008,1340,Princeton,3,4,4,5,3,4,13,6,3,4,6,10,65
2008,1350,Armstrong/Spallumcheen,7,5,3,7,9,4,6,9,6,5,5,6,72
2008,1361,Vernon Centre/Coldstream,67,49,45,48,40,39,56,35,44,37,39,40,539
2008,1362,North Okanagan/Lumby,4,3,4,2,9,6,8,6,8,3,3,7,63
2008,1371,Central Okanagan Rural,2,10,4,4,3,6,4,2,4,8,3,4,54
2008,1372,West Kelowna,32,27,46,25,27,12,21,18,24,31,31,15,309
2008,1373,Lake Country,9,7,9,4,7,4,7,3,2,9,5,6,72
2008,1374,Glenmore,17,13,12,15,17,12,15,14,11,17,17,11,171
2008,1375,Downtown Kelowna,61,46,58,39,54,42,45,44,34,47,59,39,568
2008,1376,Rutland,16,34,25,24,28,13,21,20,25,20,13,29,268
2008,1377,Okanagan Mission,8,7,7,9,11,6,8,9,7,8,9,7,96
2008,1380,Summerland,17,7,20,12,15,13,13,15,8,13,16,11,160
2008,1390,Enderby,6,7,11,10,6,7,8,5,7,5,10,8,90
2008,1410,Revelstoke,3,6,3,3,2,4,3,2,4,2,8,4,44
2008,1420,Salmon Arm,21,31,26,39,37,28,31,24,25,26,23,28,339
2008,1431,Kamloops Centre North,31,40,44,29,30,21,29,34,22,33,29,40,382
2008,1432,Kamloops Centre South,31,25,24,37,25,31,23,28,22,31,39,28,344
2008,1433,Lower Thompson,13,9,14,10,12,12,16,13,9,12,10,14,144
2008,1440,100 Mile House,14,16,15,13,13,15,10,10,7,9,11,9,142
2008,1450,North Thompson,6,3,1,6,4,8,4,7,3,5,7,6,60
2008,1461,West Cariboo,2,2,2,0,5,3,2,4,1,2,3,1,27
2008,1462,Williams Lake/East Cariboo,10,9,12,14,18,10,16,20,11,10,16,24,170
2008,1470,Lillooet,1,2,2,3,3,6,3,2,8,5,8,2,45
2008,1480,South Cariboo,5,5,6,5,1,8,5,9,8,5,9,4,70
2008,1490,Merritt,15,10,13,21,13,7,16,5,11,10,7,14,142
2008,2110,Hope,7,5,10,13,10,10,8,11,10,9,5,5,103
2008,2121,South Chilliwack,38,18,20,23,21,22,25,24,17,28,21,35,292
2008,2122,North Chilliwack,48,46,40,31,25,33,32,37,28,31,42,44,437
2008,2131,Central Abbotsford,33,30,33,31,32,33,24,32,16,17,24,30,335
2008,2132,East Abbotsford,11,5,9,10,5,4,9,10,8,12,8,9,100
2008,2133,West Abbotsford,39,31,42,42,33,44,29,33,38,34,32,36,433
2008,2134,Abbotsford Rural,9,16,10,9,12,3,7,5,6,8,10,8,103
2008,2141,South Mission,21,18,16,20,25,21,16,13,18,11,18,22,219
2008,2142,North Mission,6,5,8,9,7,10,5,7,5,5,6,7,80
2008,2150,Agassiz/Harrison,6,2,6,11,8,5,4,2,6,6,5,9,70
